ori,months_reported,sex_acts,sex_acts_cleared,sex_acts_juvenile_cleared,servitude,servitude_cleared,servitude_juvenile_cleared
MO06900,6,0,0,0,0,0,0
MO06902,5,0,0,0,0,0,0
MO07000,5,0,0,0,0,0,0
MO07001,5,0,0,0,0,0,0
MO07002,5,0,0,0,0,0,0
MO07003,5,0,0,0,0,0,0
MO07004,5,0,0,0,0,0,0
MO07008,5,0,0,0,0,0,0
MO07100,7,0,0,0,0,0,0
MO07101,7,0,0,0,0,0,0
MO07102,6,0,0,0,0,0,0
MO07107,5,0,0,0,0,0,0
MO07200,5,0,0,0,0,0,0
MO07201,7,0,0,0,0,0,0
MO07203,5,0,0,0,0,0,0
MO07204,5,0,0,0,0,0,0
MO07205,5,0,0,0,0,0,0
MO07206,5,0,0,0,0,0,0
MO07207,8,0,0,0,0,0,0
MO07209,5,0,0,0,0,0,0
MO07210,8,0,0,0,0,0,0
MO07211,5,0,0,0,0,0,0
MO07214,1,0,0,0,0,0,0
MO07300,6,0,0,0,0,0,0
MO07301,5,0,0,0,0,0,0
MO07302,8,0,0,0,0,0,0
MO07303,6,0,0,0,0,0,0
MO07304,5,0,0,0,0,0,0
MO07306,5,0,0,0,0,0,0
MO07400,6,0,0,0,0,0,0
MO07401,5,0,0,0,0,0,0
MO07402,5,0,0,0,0,0,0
MO07500,10,0,0,0,0,0,0
MO07501,10,0,0,0,0,0,0
MO07502,5,0,0,0,0,0,0
MO07600,5,0,0,0,0,0,0
MO07603,6,0,0,0,0,0,0
MO07700,5,0,0,0,0,0,0
MO07800,10,0,0,0,0,0,0
MO07801,7,0,0,0,0,0,0
MO07803,5,0,0,0,0,0,0
MO07805,7,0,0,0,0,0,0
MO07806,7,0,0,0,0,0,0
MO07812,6,0,0,0,0,0,0
MO07825,3,0,0,0,0,0,0
MO07900,10,0,0,0,0,0,0
MO07901,5,0,0,0,0,0,0
MO08000,5,0,0,0,0,0,0
MO08002,7,0,0,0,0,0,0
MO08003,6,0,0,0,0,0,0
MO08100,5,0,0,0,0,0,0
MO08101,6,0,0,0,0,0,0
MO08102,7,0,0,0,0,0,0
MO08103,6,0,0,0,0,0,0
MO08104,5,0,0,0,0,0,0
MO08106,5,0,0,0,0,0,0
MO08107,10,0,0,0,0,0,0
MO08200,6,0,0,0,0,0,0
MO08201,6,0,0,0,0,0,0
MO08203,6,0,0,0,0,0,0
MO08300,5,0,0,0,0,0,0
MO08301,6,0,0,0,0,0,0
MO08302,5,0,0,0,0,0,0
MO08303,7,0,0,0,0,0,0
MO08304,5,0,0,0,0,0,0
MO08305,5,0,0,0,0,0,0
MO08306,5,0,0,0,0,0,0
MO08307,5,0,0,0,0,0,0
MO08313,5,0,0,0,0,0,0
MO08314,5,0,0,0,0,0,0
MO08315,5,0,0,0,0,0,0
MO08320,12,0,0,0,0,0,0
MO08321,12,0,0,0,0,0,0
MO08400,6,0,0,0,0,0,0
MO08401,8,0,0,0,0,0,0
MO08402,5,0,0,0,0,0,0
MO08409,5,0,0,0,0,0,0
MO08414,5,0,0,0,0,0,0
MO08500,6,0,0,0,0,0,0
MO08501,9,0,0,0,0,0,0
MO08502,9,0,0,0,0,0,0
MO08503,5,0,0,0,0,0,0
MO08504,6,0,0,0,0,0,0
MO08505,5,0,0,0,0,0,0
MO08600,5,0,0,0,0,0,0
MO08601,6,0,0,0,0,0,0
MO08700,7,0,0,0,0,0,0
MO08701,6,0,0,0,0,0,0
MO08702,5,0,0,0,0,0,0
MO08703,6,0,0,0,0,0,0
MO08800,5,0,0,0,0,0,0
MO08802,8,0,0,0,0,0,0
MO08803,7,0,0,0,0,0,0
MO08900,10,0,0,0,0,0,0
MO08901,6,0,0,0,0,0,0
MO08902,5,0,0,0,0,0,0
MO08903,5,0,0,0,0,0,0
MO08907,12,0,0,0,0,0,0
MO08908,8,0,0,0,0,0,0
MO08909,5,0,0,0,0,0,0
MO08911,6,0,0,0,0,0,0
MO09000,10,0,0,0,0,0,0
MO09001,5,0,0,0,0,0,0
MO09100,7,0,0,0,0,0,0
MO09101,5,0,0,0,0,0,0
MO09200,7,0,0,0,0,0,0
MO09201,5,0,0,0,0,0,0
MO09205,6,0,0,0,0,0,0
MO09207,6,0,0,0,0,0,0
MO09209,5,0,0,0,0,0,0
MO09212,5,0,0,0,0,0,0
MO09214,5,0,0,0,0,0,0
MO09215,5,0,0,0,0,0,0
MO09216,5,0,0,0,0,0,0
MO09220,5,0,0,0,0,0,0
MO09300,7,0,0,0,0,0,0
MO09301,9,0,0,0,0,0,0
MO09302,5,0,0,0,0,0,0
MO09305,6,0,0,0,0,0,0
MO09400,6,0,0,0,0,0,0
MO09401,7,0,0,0,0,0,0
MO09402,6,0,0,0,0,0,0
MO09403,5,0,0,0,0,0,0
MO09406,6,0,0,0,0,0,0
MO09408,6,0,0,0,0,0,0
MO09410,6,0,0,0,0,0,0
MO09416,6,0,0,0,0,0,0
MO09421,5,0,0,0,0,0,0
MO09422,7,0,0,0,0,0,0
MO09424,6,0,0,0,0,0,0
